season,Teamname,Team_Abbrv,Points
2007,D.C. United,DC,55
2007,Chivas USA,CHV,53
2007,Houston Dynamo,HOU,52
2007,New England Revolution,NE,50
2007,FC Dallas,DAL,44
2007,New York Red Bulls,RBNY,43
2007,Kansas City Wizards,SKC,40
2007,Chicago Fire,CHI,40
2007,Columbus Crew,CLB,37
2007,Colorado Rapids,COL,35
2007,Los Angeles Galaxy,LA,34
2007,Real Salt Lake,RSL,27
2007,Toronto FC,TOR,25
2008,Columbus Crew,CLB,57
2008,Houston Dynamo,HOU,51
2008,Chicago Fire,CHI,46
2008,Chivas USA,CHV,43
2008,New England Revolution,NE,43
2008,Kansas City Wizards,SKC,42
2008,Real Salt Lake,RSL,40
2008,New York Red Bulls,RBNY,39
2008,Colorado Rapids,COL,38
2008,D.C. United,DC,37
2008,FC Dallas,DAL,36
2008,Toronto FC,TOR,35
2008,San Jose Earthquakes,SJ,33
2008,Los Angeles Galaxy,LA,33
2009,Columbus Crew,CLB,49
2009,Houston Dynamo,HOU,48
2009,Los Angeles Galaxy,LA,48
2009,Seattle Sounders FC,SEA,47
2009,Chicago Fire,CHI,45
2009,Chivas USA,CHV,45
2009,New England Revolution,NE,42
2009,Real Salt Lake,RSL,40
2009,Colorado Rapids,COL,40
2009,D.C. United,DC,40
2009,FC Dallas,DAL,39
2009,Toronto FC,TOR,39
2009,Kansas City Wizards,SKC,33
2009,San Jose Earthquakes,SJ,30
2009,New York Red Bulls,RBNY,21
2010,Los Angeles Galaxy,LA,59
2010,Real Salt Lake,RSL,56
2010,New York Red Bulls,RBNY,51
2010,FC Dallas,DAL,50
2010,Columbus Crew,CLB,50
2010,Seattle Sounders FC,SEA,48
2010,Colorado Rapids,COL,46
2010,San Jose Earthquakes,SJ,46
2010,Kansas City Wizards,SKC,39
2010,Chicago Fire,CHI,36
2010,Toronto FC,TOR,35
2010,Houston Dynamo,HOU,33
2010,New England Revolution,NE,32
2010,Philadelphia Union,PHI,31
2010,Chivas USA,CHV,28
2010,D.C. United,DC,22
2011,LA Galaxy,LA,67
2011,Seattle Sounders FC,SEA,63
